data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6271095,728,SSD2555,2555,"31 December 2015",2015,1,"Violence against civilians","Sexual violence","Military Forces of South Sudan (2011-)",,1,"Civilians (South Sudan)","Women (South Sudan)",7,17,"Eastern Africa","South Sudan","Western Bahr el Ghazal",Wau,Udici,Wau,7.718,28.007,1,HRW,Other,"In another case, a father told Human Rights Watch that five soldiers raped his 28-year-old daughter, who was two-months pregnant, in the Hai Kosti neighbourhood (Wau) on New Year's Eve. The womans boyfriend was badly beaten by the soldiers.",0,1572403723,SSD
6270227,728,SSD2554,2554,"30 December 2015",2015,2,"Violence against civilians",Attack,"Military Forces of South Sudan (2011-)",,1,"Civilians (South Sudan)",,7,17,"Eastern Africa","South Sudan","Western Bahr el Ghazal","Jur River",Udici,Bussera,7.5818,28.0346,2,HRW,Other,"In a village between Moimoi and Busseri, soldiers beat villagers demanding to know the whereabouts of the rebels, burned hundreds of houses, and killed at least five people.",5,1572403722,SSD
6270360,728,SSD2553,2553,"30 December 2015",2015,1,Battles,"Armed clash","Unidentified Armed Group (South Sudan)",,3,"Military Forces of South Sudan (2011-)",,1,13,"Eastern Africa","South Sudan","Western Equatoria",Yambio,Yambio,Yambio,4.571,28.4104,2,HRW,Other,"Unidentified gunmen ambushed an SPLA vehicle on the Yambio-Nzara road.",0,1572403722,SSD
6270007,728,SSD2552,2552,"28 December 2015",2015,1,"Violence against civilians","Sexual violence","Arrow Boys Militia",,3,"Civilians (International)","Christian Group (United States); Women (United States)",7,37,"Eastern Africa","South Sudan","Western Equatoria",Yambio,Yambio,Yambio,4.571,28.4104,2,HRW,Other,"On December 28, five armed men (allegedly Arrow Boys) broke into a Catholic organization compound and raped a 67-year old American nun, stole vehicles and valuables, and beat staff members",0,1572403722,SSD
6311495,728,SSD2550,2550,"28 December 2015",2015,1,"Violence against civilians",Attack,"Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)",,7,37,"Eastern Africa","South Sudan","Western Bahr el Ghazal",Wau,Udici,Wau,7.718,28.007,2,"Sudan Tribune",Regional,"Gunmen shot dead the chief of Bussere Payam south of Wau.",1,1572403782,SSD
6304699,728,SSD2549,2549,"28 December 2015",2015,2,Battles,"Armed clash","Dinka Aguok Ethnic Militia (South Sudan)",,4,"Dinka Marial Lou Ethnic Militia (South Sudan)",,4,44,"Eastern Africa","South Sudan",Warrap,"Tonj North",Kuanjthii,Warrap,8.0948,28.6524,2,"Radio Tamazuj",Regional,"Clashes between Akok and Marial Lou clans in Tonj North. 37 killed, 40 wounded.",37,1572403773,SSD
6304493,728,SSD2551,2551,"28 December 2015",2015,1,"Violence against civilians",Attack,"Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)","Catholic Christian Group (South Sudan); Women (South Sudan)",7,37,"Eastern Africa","South Sudan","Western Equatoria",Yambio,Yambio,Yambio,4.571,28.4104,1,"Radio Tamazuj",Regional,"Armed men assaulted nuns in Yambio.",0,1572403772,SSD
6249154,728,SSD2548,2548,"27 December 2015",2015,1,"Violence against civilians","Sexual violence","Military Forces of South Sudan (2011-)",,1,"Civilians (South Sudan)",,7,17,"Eastern Africa","South Sudan",Unity,Leer,Gandor,Gandor,8.3513,30.1444,1,"Amnesty International",Other,"7 civilians are killed on the 27 Dec by SPLA troops. There are also reports of sexual assault by SPLA soldiers.",7,1572403696,SSD
6973477,728,SSD2543,2543,"24 December 2015",2015,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition","Agwelek Forces",2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Panyikang,Pakang,Shilluk,9.6667,31.3333,1,"Radio Tamazuj; South Sudan News Agency",National-Regional,"Clashes between SPLA/M-IO / Agwelek forces vs. military in Makal Shilluk north of Malakal.",0,1583194166,SSD
6305666,728,SSD2546,2546,"24 December 2015",2015,2,"Violence against civilians",Attack,"Military Forces of South Sudan (2011-)",,1,"Civilians (South Sudan)",,7,17,"Eastern Africa","South Sudan","Western Equatoria","Mundri East",Kediba,Lui,5.333,30.458,1,"Radio Tamazuj",Regional,"At least 7 men detained and killed by government forces on or about Dec 24, 2015 in Lui.",7,1572403774,SSD
6305742,728,SSD2544,2544,"24 December 2015",2015,1,Battles,"Armed clash","Unidentified Armed Group (South Sudan)",,3,"Police Forces of South Sudan (2011-)",,1,13,"Eastern Africa","South Sudan","Western Equatoria",Yambio,Bangasu,Makpandu,4.7398,28.667,1,"Radio Tamazuj",Regional,"Unknown group attacked police station in Makpandu. One woman raped during the incident. One person abducted.",0,1572403774,SSD
6304995,728,SSD2547,2547,"24 December 2015",2015,1,"Violence against civilians","Sexual violence","Unidentified Armed Group (South Sudan)",,3,"Civilians (South Sudan)","Women (South Sudan)",7,37,"Eastern Africa","South Sudan","Western Equatoria",Yambio,Bangasu,Makpandu,4.7398,28.667,1,"Radio Tamazuj",Regional,"Unknown group attacked police station in Makpandu. One woman raped during the incident. One person abducted.",0,1572403773,SSD
6975473,728,SSD2545,2545,"24 December 2015",2015,1,Battles,"Armed clash","Military Forces of South Sudan (2011-)",,1,"SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,12,"Eastern Africa","South Sudan","Western Equatoria","Mundri East",Kediba,Lui,5.333,30.458,1,"Radio Tamazuj",Regional,"Clashes between military and SPLA/M-IO in Lui. 4 soldiers killed.",4,1583194175,SSD
6249232,728,SSD2540,2540,"23 December 2015",2015,2,"Violence against civilians",Attack,"Military Forces of South Sudan (2011-)",,1,"Civilians (South Sudan)",,7,17,"Eastern Africa","South Sudan",Unity,Leer,Gandor,Gandor,8.3513,30.1444,1,"Amnesty International",Other,"8 civilians are killed by SPLA soldiers in Gandor in the run up to Christmas.",8,1572403696,SSD
