state,ea,hh,weight,hhweight,year,plinePPP,poor,tc_imp,wave,accesibility,night_lights,population
NORTHERN BAHR EL GHAZAL,1,1,77.11273956,308.4509583,2015,8.712560654,1,4.679047108,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,2,77.11273956,539.7891846,2015,8.712560654,1,1.946828604,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,3,77.11273956,385.5636902,2016,8.712560654,1,4.191449642,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,3,77.11273956,385.5636902,2015,8.712560654,1,6.941035271,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,4,77.11273956,694.0146484,2015,8.712560654,0,11.18854809,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,4,77.11273956,1002.465637,2016,8.712560654,1,1.981642246,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,5,77.11273956,385.5636902,2015,8.712560654,0,10.99212551,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,5,77.11273956,848.2401123,2016,8.712560654,1,6.940070629,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,6,77.11273956,539.7891846,2015,8.712560654,1,6.704957008,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,6,77.11273956,539.7891846,2016,8.712560654,1,4.981141567,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,7,77.11273956,462.6764526,2015,8.712560654,1,7.285683632,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,7,77.11273956,462.6764526,2016,8.712560654,1,4.291383266,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,8,77.11273956,539.7891846,2016,8.712560654,1,4.294847965,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,8,77.11273956,385.5636902,2015,8.712560654,0,27.39069366,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,9,77.11273956,539.7891846,2016,8.712560654,1,4.449436188,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,9,77.11273956,616.9019165,2015,8.712560654,1,8.066846848,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,10,77.11273956,385.5636902,2015,8.712560654,0,11.95139408,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,10,77.11273956,616.9019165,2016,8.712560654,1,0.965052068,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,11,77.11273956,694.0146484,2016,8.712560654,1,4.273717403,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,11,77.11273956,925.3529053,2015,8.712560654,1,8.203160286,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,12,77.11273956,616.9019165,2015,8.712560654,0,11.84903431,1,6,0.082300037,81
NORTHERN BAHR EL GHAZAL,1,12,77.11273956,539.7891846,2016,8.712560654,0,13.39586544,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,13,80.52888489,563.7022095,2016,8.712560654,1,2.389547348,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,1,14,80.52888489,80.52888489,2016,8.712560654,0,46.88503265,2,6,0.082401633,109.5
NORTHERN BAHR EL GHAZAL,5,1,152.0469666,760.2348633,2016,8.712560654,1,3.742490292,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,1,152.0469666,1216.375732,2015,8.712560654,1,2.987294197,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,2,152.0469666,1368.422729,2016,8.712560654,1,2.660573483,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,2,152.0469666,912.2817993,2015,8.712560654,0,11.09044743,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,3,152.0469666,608.1878662,2016,8.712560654,1,6.267440319,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,3,152.0469666,608.1878662,2015,8.712560654,1,3.423834801,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,4,152.0469666,1064.328735,2015,8.712560654,1,7.048923016,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,4,152.0469666,1064.328735,2016,8.712560654,1,3.497227907,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,5,152.0469666,1672.516602,2016,8.712560654,0,26.02168655,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,5,152.0469666,1824.563599,2015,8.712560654,0,12.31601715,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,6,152.0469666,1064.328735,2015,8.712560654,1,3.173451662,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,6,152.0469666,760.2348633,2016,8.712560654,0,14.1408062,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,7,152.0469666,1064.328735,2016,8.712560654,1,6.174429417,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,7,152.0469666,1672.516602,2015,8.712560654,1,6.802714348,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,8,152.0469666,760.2348633,2015,8.712560654,0,12.70865059,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,8,152.0469666,304.0939331,2016,8.712560654,0,15.01409149,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,9,152.0469666,1064.328735,2015,8.712560654,1,4.223231316,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,9,152.0469666,1672.516602,2016,8.712560654,1,2.373159885,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,10,152.0469666,1672.516602,2016,8.712560654,1,0.350615591,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,10,152.0469666,1976.610596,2015,8.712560654,1,5.977818489,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,11,152.0469666,760.2348633,2016,8.712560654,1,3.302043915,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,5,11,152.0469666,760.2348633,2015,8.712560654,0,10.62836075,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,12,152.0469666,1216.375732,2015,8.712560654,1,1.719715714,1,7,0.081061378,106
NORTHERN BAHR EL GHAZAL,5,12,152.0469666,1216.375732,2016,8.712560654,1,1.68882668,2,6.5,0.081324592,129
NORTHERN BAHR EL GHAZAL,7,1,58.39125824,1051.042603,2016,8.712560654,0,17.89334297,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,1,58.39125824,1693.346436,2015,8.712560654,0,11.37221241,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,2,58.39125824,233.565033,2016,8.712560654,0,12.3788147,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,2,58.39125824,291.9562988,2015,8.712560654,0,13.15066147,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,3,58.39125824,233.565033,2016,8.712560654,1,3.385493517,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,3,58.39125824,116.7825165,2015,8.712560654,1,6.172430515,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,4,58.39125824,116.7825165,2015,8.712560654,0,58.04841614,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,4,58.39125824,116.7825165,2016,8.712560654,0,50.15315628,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,5,58.39125824,408.7388,2015,8.712560654,0,19.96313858,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,5,58.39125824,350.3475342,2016,8.712560654,0,22.19730186,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,6,58.39125824,233.565033,2015,8.712560654,1,3.386766911,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,6,58.39125824,175.1737671,2016,8.712560654,0,19.47511673,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,7,58.39125824,1226.216431,2015,8.712560654,1,3.084337473,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,7,58.39125824,583.9125977,2016,8.712560654,1,3.42909193,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,8,58.39125824,642.303833,2015,8.712560654,0,8.500090599,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,8,58.39125824,583.9125977,2016,8.712560654,1,3.85211134,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,9,58.39125824,642.303833,2016,8.712560654,1,2.658318996,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,9,58.39125824,642.303833,2015,8.712560654,1,1.869573355,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,10,58.39125824,1051.042603,2016,8.712560654,1,1.663533092,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,10,58.39125824,525.5213013,2015,8.712560654,1,5.460726261,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,11,58.39125824,642.303833,2015,8.712560654,0,11.36947536,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,11,58.39125824,875.8688965,2016,8.712560654,1,7.290814877,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,12,58.39125824,408.7388,2016,8.712560654,1,6.750712872,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,12,58.39125824,467.1300659,2015,8.712560654,0,9.014878273,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,9,1,45.13543701,812.4378662,2015,8.712560654,1,3.282220602,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,1,45.13543701,270.8126221,2016,8.712560654,1,6.235788822,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,2,45.13543701,406.2189331,2015,8.712560654,0,14.5189743,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,2,45.13543701,225.6771851,2016,8.712560654,0,15.71080589,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,3,45.13543701,270.8126221,2016,8.712560654,0,9.083950996,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,3,45.13543701,270.8126221,2015,8.712560654,0,9.885874748,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,4,45.13543701,270.8126221,2015,8.712560654,0,33.91945267,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,5,45.13543701,225.6771851,2016,8.712560654,0,8.533751488,2,7,0.086671658,134
