adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0
2747,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,1/15/2015,,0,Beans (red) - Retail (KG),1385,Bentiu,10.7,15,1,1385_78_15_5,5,KG,1421280000,2015
2751,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2/15/2015,,0,Beans (red) - Retail (KG),1386,Bor,11,15,1,1386_78_15_5,5,KG,1423958400,2015
2766,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,3/15/2015,,0,Beans (red) - Retail (KG),1391,Jau,10.5,15,1,1391_78_15_5,5,KG,1426377600,2015
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,4/15/2015,,0,Beans (red) - Retail (KG),2241,Mingkaman,12.25,15,1,2241_78_15_5,5,KG,1429056000,2015
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,5/15/2015,,0,Beans (red) - Retail (KG),2241,Mingkaman,12.2,15,1,2241_78_15_5,5,KG,1431648000,2015
2765,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,6/15/2015,,0,Beans (red) - Retail (KG),1387,Kuajok,16.5,15,1,1387_78_15_5,5,KG,1434326400,2015
2754,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,7/15/2015,,0,Beans (red) - Retail (KG),1384,Aweil (Town),20,15,1,1384_78_15_5,5,KG,1436918400,2015
2748,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,8/15/2015,,0,Beans (red) - Retail (KG),1388,Konyo Konyo,20,15,1,1388_78_15_5,5,KG,1439596800,2015
2754,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,9/15/2015,,0,Beans (red) - Retail (KG),1384,Aweil (Town),20,15,1,1384_78_15_5,5,KG,1442275200,2015
2747,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,10/15/2015,,0,Beans (red) - Retail (KG),1385,Bentiu,22.5,15,1,1385_78_15_5,5,KG,1444867200,2015
2747,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,11/15/2015,,0,Beans (red) - Retail (KG),1385,Bentiu,24.8,15,1,1385_78_15_5,5,KG,1447545600,2015
2751,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,12/15/2015,,0,Beans (red) - Retail (KG),1386,Bor,27.5,15,1,1386_78_15_5,5,KG,1450137600,2015
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,1/15/2016,,0,Beans (red) - Retail (KG),2241,Mingkaman,32.75,15,1,2241_78_15_5,5,KG,1452816000,2016
2751,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2/15/2016,,0,Beans (red) - Retail (KG),1386,Bor,38.7,15,1,1386_78_15_5,5,KG,1455494400,2016
2751,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,3/15/2016,,0,Beans (red) - Retail (KG),1386,Bor,44,15,1,1386_78_15_5,5,KG,1458000000,2016
