State,County,Poverty_Rate
Central Equatoria,Juba,0.36
Central Equatoria,Kajo-keji,0.45
Central Equatoria,Lainya,0.44
Central Equatoria,Morobo,0.41
Central Equatoria,Terekeka,0.69
Central Equatoria,Yei,0.34
Eastern Equatoria,Budi,0.57
Eastern Equatoria,Ikotos,0.46
Eastern Equatoria,Kapoeta East,0.46
Eastern Equatoria,Kapoeta North,0.58
Eastern Equatoria,Kapoeta South,0.47
Eastern Equatoria,Lafon,0.49
Eastern Equatoria,Magwi,0.36
Eastern Equatoria,Torit,0.39
Jonglei,Akobo,0.52
Jonglei,Ayod,0.62
Jonglei,Bor South,0.5
Jonglei,Duk,0.54
Jonglei,Fangak,0.55
Jonglei,Canal/Pigi,0.44
Jonglei,Nyirol,0.43
Jonglei,Pibor,0.44
Jonglei,Pochalla,0.56
Jonglei,Twic East,0.5
Jonglei,Uror,0.4
Lakes,Awerial,0.48
Lakes,Cueibet,0.49
Lakes,Rumbek Centre,0.44
Lakes,Rumbek East,0.46
Lakes,Rumbek North,0.57
Lakes,Wulu,0.4
Lakes,Yirol East,0.53
Lakes,Yirol West,0.51
Northern Bahr el Ghazal,Aweil Centre,0.76
Northern Bahr el Ghazal,Aweil East,0.75
Northern Bahr el Ghazal,Aweil North,0.77
Northern Bahr el Ghazal,Aweil South,0.82
Northern Bahr el Ghazal,Aweil West,0.67
Unity,Abiemnhom,0.53
Unity,Guit,0.75
Unity,Koch,0.67
Unity,Leer,0.72
Unity,Mayendit,0.77
Unity,Mayom,0.73
Unity,Pariang,0.74
Unity,Panyijiar,0.7
Unity,Rubkona,0.5
Upper Nile,Baliet,0.32
Upper Nile,Fashoda,0.21
Upper Nile,Longochuk,0.31
Upper Nile,Luakpiny/Nasir,0.32
Upper Nile,Maban,0.26
Upper Nile,Maiwut,0.27
Upper Nile,Malakal,0.12
Upper Nile,Manyo,0.19
Upper Nile,Melut,0.21
Upper Nile,Panyikang,0.21
Upper Nile,Renk,0.22
Upper Nile,Ulang,0.38
Warrap,Gogrial East,0.64
Warrap,Gogrial West,0.63
Warrap,Tonj East,0.67
Warrap,Tonj North,0.67
Warrap,Tonj South,0.56
Warrap,Twic,0.63
Western Bahr el Ghazal,Jur River,0.6
Western Bahr el Ghazal,Raga,0.4
Western Bahr el Ghazal,Wau,0.41
Western Equatoria,Ezo,0.45
Western Equatoria,Ibba,0.44
Western Equatoria,Maridi,0.35
Western Equatoria,Mundri East,0.45
Western Equatoria,Mundri West,0.54
Western Equatoria,Mvolo,0.53
Western Equatoria,Nagero,0.49
Western Equatoria,Nzara,0.37
Western Equatoria,Tambura,0.36
Western Equatoria,Yambio,0.38
