State,,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Unity,Unity,Unity,Unity,Unity,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Warrap,Warrap,Warrap,Warrap,Warrap,Warrap,Warrap,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria
County,,Juba,Juba,Juba,Juba,Lainya,Morobo,Morobo,Terekeka,Yei,Yei,Yei,Yei,kajo keji,Budi,Budi,Ikotos,Ikotos,Kapoeta East,Kapoeta North,Kapoeta South,Kapoeta South,Lafon,Magwi,Magwi,Magwi,Torit,Torit,budi,budi,Akobo,Bor south,Bor south,Bor south,Bor south,Duk,Nyirol,Pibor,Pibor,Twic east,Awerial,Cueibet,Rumbek centre,Rumbek north,Wulu,Yirol east,Yirol east,Yirol west,Yirol west, Aweil  north, Aweil  north, Aweil  north, Aweil  north,Aweil centre,Aweil centre,Aweil east,Aweil east,Aweil east,Aweil east,Aweil west,Aweil west,Aweil west,Aweil west,Mayom,Panyijiar,Panyijiar,Rubkona,Rubkona,maban,maiwut,maiwut,malakal,melut,renk,renk,Abyei,Gogrial east,Gogrial west,Tonj east,Tonj north,Tonj south,Twic,jur river,wau,wau,wau,wau,ezo,ibba,ibba,maridi,mundri west,mvolo,nzara,tambura,yambio
Market,,Custom/Nyakuron,Gudele Two,Gumbo,Konyokonyo,Lainya,Kaya,Morobo,Terekeka,Dar es Salaam,Jigomoni,Lutaya,Yei,kajo keji,Camp 15,Chukudum,Ikotos,Tsertenya,Narus,Riwoto,Kapoeta,New Market,Lafon,Magwi,Malakia,Nimule,Omoliha,Torit,Camp 15,Chukudum,Akobo,Bor,Lauder,Ligeal,Marol,Poktab,Lankien,Pibor,Wayani,Panyagor/Duk,Mingkaman,Cueibet,Rumbek Centre,Maper,Wullu,Nyang,Yirol east,Nyang,Yirol west,Ariath,Gok Machar,Machar,Pamat,Aroyo,Aweil,Akuem,Wanjok,Warawar,Warwar,Chelkou,Marial Bai,Nyamlel,Wedweil,Mayom,Ganyiel,Nyal,Bentiu,Rubkona,Maban,Pagak,Palong,Malakal,Melut,Suk Shabi,renk,Agok,Lietnhom,Kuajok Town,Tonj,Warrap,Thiet,Turalei,Mapel,Ajar,Bessilia,Jau,Wau Center,ezo,Bangasu,Ibba,maridi,Mundri West,mvolo,Nzara,Tombura Center,Yambio
Commodity,,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize,Maize
Units,,Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg),Malwa (3.5Kg)
Currency,,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP
Year,Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Apr,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,0,0,0,,,,,,,,,
2009,Aug,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,0,0,0,,,,,,,,,
2009,Dec,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,4,,,,,,8,8,8,8,,,,,,,,,
2009,Feb,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,0,0,0,,,,,,,,,
