State,,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Unity,Unity,Unity,Unity,Unity,Unity,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Warrap,Warrap,Warrap,Warrap,Warrap,Warrap,Warrap,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria
County,,juba,juba,juba,juba,kajo keji,lainya,morobo,morobo,terekeka,yei,Budi,Budi,Budi,Budi,Budi,Budi,Ikotos,Ikotos,Kapoeta east,Kapoeta north,Kapoeta south,Kapoeta south,Lafon,Magwi,Magwi,Magwi,Torit,Torit,Akobo,Akobo,Bor south,Bor south,Bor south,Bor south,Bor south,Duk,Nyirol,Pibor,Pibor,Twic east,Awerial,Cueibet,Rumbek North,Rumbek centre,Wulu,Yirol east,Yirol east,Yirol west,Aweil centre,Aweil centre,Aweil east,Aweil east,Aweil east,Aweil east,Aweil north,Aweil north,Aweil north,Aweil north,Aweil west,Aweil west,Aweil west,Aweil west,Mayom,Panyijiar,Panyijiar,Rubkona,Rubkona,leer,longochuk,maban,maiwut,maiwut,malakal,Abyei,Gogrial east,Gogrial west,Twic,tonj east,tonj north,tonj south,Jur river,Wau,Wau,Wau,Wau,jur river,wau,wau,wau,wau,ezo,ibba,ibba,maridi,mundri west,mvolo,nzara,tambura,yambio
Market,,Custom/Nyakuron,Gudele Two,Gumbo,Konyokonyo,kajo keji,lainya,Kaya,Morobo,terekeka,Yei,Camp 15,Camp 16,Camp 17,Camp 18,Camp 19,Chukudum,Ikotos,Tsertenya,Narus,Riwoto,Kapoeta,New Market,Lafon,Magwi,Malakia,Nimule,Omoliha,Torit,AKobo,Akobo,Bor,Lauder,Ligeal,Marol,bor,Poktab,Lankien,Pibor,Wayani,Panyagor/Duk,Mingkaman,Cueibet,Maper,Rumbek centre,Wullu,Nyang,Yirol east,Yirol,Aroyo,Aweil,Akuem,Wanjok,Warawar,Warwar,Ariath,Gok Machar,Machar,Pamat,Chelkou,Marial Bai,Nyamlel,Wedweil,Mayom,Ganyiel,Nyal,Bentiu,Rubkona,Leer,Mathiang,Maban,Pagak,Palong,Malakal,Agok,Lietnhom,Kuajok Town,Turalei,Tonj,Warrap,Thiet,Mapel,Ajar,Bessilia,jau,wau center,Mapel,Ajar,Bessilia,Jau,Wau Center,Ezo,Bangasu,Ibba,Maridi,mundri west,mvolo,Nzara,Tombura Center,Yambio
Commodity,,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum,sorghum
Units,,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg,1kg
Currency,,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP,SSP
Year,Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
2009,Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
2009,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,
2009,Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
