state,ea,weight,hh,hhsize,index,own_pre,owntotal_pre,yearp,vintage,price_pre,curr_pre,conv2ssp,own_post,owntotal_post,price_post,curr_post,drate,drate_median,cons_d,cons_d_weekly,cons_d_daily,cons_d_daily_pc
"Northern Bahr El Ghazal",1,77.11274,3,5,"Mattress or bed",,,2005,11,200,,,"Yes",2,250,,.0959599,.0959599,80.28243,1.538609,.2198013,.0439603
"Northern Bahr El Ghazal",1,77.11274,4,9,"Mobile phone","Yes",4,2015,1,120,"SSP",9.91,"Yes",3,200,"SSP",.21336377,.2133638,133.4058,2.556716,.3652452,.0405828
"Northern Bahr El Ghazal",1,77.11274,4,9,"Motorcycle/motor",,0,2015,1,1500,"SSP",9.91,"Yes",1,3000,"SSP",.12206381,.1220638,584.6305,11.20442,1.600631,.1778479
"Northern Bahr El Ghazal",1,77.11274,4,9,"Mosquito net","Yes",4,2015,1,30,"SSP",9.91,"Yes",6,40,"SSP",.11002269,.1100227,38.44218,.7367427,.105249,.0116943
"Northern Bahr El Ghazal",1,77.11274,4,9,"Mattress or bed","Yes",5,2014,2,400,"SSP",4.66,"Yes",6,800,"SSP",.0959599,.0959599,289.0168,5.538993,.7912847,.0879205
"Northern Bahr El Ghazal",1,77.11274,4,9,"Hoe, spade or axe","Yes",1,2012,4,15,"SSP",4.45,"Yes",1,20,"SSP",.12295382,.1229538,3.92165,.0751582,.0107369,.001193
"Northern Bahr El Ghazal",1,77.11274,5,5,"Radio or transistor",,0,2015,1,100,"SSP",9.91,"Yes",1,100,"SSP",.00497512,.1715889,26.58818,.5095613,.0727945,.0145589
"Northern Bahr El Ghazal",1,77.11274,5,5,"Cars",,0,2013,3,23000,,,"Yes",1,50000,,.04520391,.0452039,4959.59,95.05033,13.57862,2.715724
"Northern Bahr El Ghazal",1,77.11274,5,5,"Mattress or bed","Yes",2,2014,2,300,"SSP",4.66,"Yes",2,320,"SSP",.0959599,.0959599,83.49373,1.600154,.2285934,.0457187
"Northern Bahr El Ghazal",1,77.11274,5,5,"Mosquito net","Yes",3,2013,3,30,"SSP",4.27,"Yes",3,35,"SSP",.11002269,.1100227,16.98608,.3255375,.0465054,.0093011
"Northern Bahr El Ghazal",1,77.11274,6,7,"Mosquito net","Yes",9,2014,2,56,"SSP",4.66,"Yes",5,20,,.4053589,.1100227,17.88008,.342671,.048953,.0069933
"Northern Bahr El Ghazal",1,77.11274,6,7,"Mattress or bed","Yes",9,2008,8,3,"SSP",2.11,"Yes",3,200,,.0959599,.0959599,96.33892,1.846331,.2637616,.0376802
"Northern Bahr El Ghazal",1,77.11274,6,7,"Hoe, spade or axe","Yes",4,2013,3,10,"SSP",4.27,"Yes",2,20,,.12295382,.1229538,7.8433,.1503165,.0214738,.0030677
"Northern Bahr El Ghazal",1,77.11274,7,6,"Mattress or bed","Yes",4,2012,4,200,,,"Yes",3,200,,.00497512,.0959599,96.33892,1.846331,.2637616,.0439603
"Northern Bahr El Ghazal",1,77.11274,7,6,"Mosquito net","Yes",3,2014,2,25,"SSP",4.66,"Yes",2,20,,.1100227,.1100227,7.152034,.1370684,.0195812,.0032635
"Northern Bahr El Ghazal",1,77.11274,7,6,"Mobile phone","Yes",1,2014,2,250,"SSP",4.66,"Yes",1,100,,.37069101,.2133638,33.26828,.6375851,.0910836,.0151806
"Northern Bahr El Ghazal",1,77.11274,8,5,"Mosquito net",,,2014,2,25,,,"Yes",3,20,,.1100227,.1100227,10.72805,.2056026,.0293718,.0058744
