state,ea,weight,hh,index,raise,raised_q,soldkilled_q,given_q,given_reason,bought_q,lost_q,lost_reason,born_q,price,curr,price_usd,c_max_s,c_max_h
"Northern Bahr El Ghazal",1,77.11274,1,"Camels","No",.z,.z,.z,.z,.z,.z,.z,.z,30,.z,,5,500
"Northern Bahr El Ghazal",1,77.11274,1,"Donkey/Mules","No",.z,.z,.z,.z,.z,.z,.z,.z,4000,.z,,10,500
"Northern Bahr El Ghazal",1,77.11274,1,"Goats","No",.z,.z,.z,.z,.z,.z,.z,.z,800,.z,,200,5000
"Northern Bahr El Ghazal",1,77.11274,1,"Pigs","No",.z,.z,.z,.z,.z,.z,.z,.z,800,.z,,10,500
"Northern Bahr El Ghazal",1,77.11274,1,"Poultry","No",.z,.z,.z,.z,.z,.z,.z,.z,600,.z,,50,500
"Northern Bahr El Ghazal",1,77.11274,1,"Horses","No",.z,.z,.z,.z,.z,.z,.z,.z,8000,.z,,5,500
"Northern Bahr El Ghazal",1,77.11274,1,"Sheep","No",.z,.z,.z,.z,.z,.z,.z,.z,150000,.z,,200,5000
"Northern Bahr El Ghazal",1,77.11274,1,"Cattle","Yes",,,,,,,,,,,,120,5000
"Northern Bahr El Ghazal",1,77.11274,2,"Pigs","No",.z,.z,.z,.z,.z,.z,.z,.z,800,.z,,10,500
"Northern Bahr El Ghazal",1,77.11274,2,"Camels","No",.z,.z,.z,.z,.z,.z,.z,.z,30,.z,,5,500
"Northern Bahr El Ghazal",1,77.11274,2,"Cattle","No",.z,.z,.z,.z,.z,.z,.z,.z,10000,.z,,120,5000
"Northern Bahr El Ghazal",1,77.11274,2,"Goats","Yes",,,,,,,,,,,,200,5000
"Northern Bahr El Ghazal",1,77.11274,2,"Donkey/Mules","No",.z,.z,.z,.z,.z,.z,.z,.z,4000,.z,,10,500
"Northern Bahr El Ghazal",1,77.11274,2,"Poultry","No",.z,.z,.z,.z,.z,.z,.z,.z,600,.z,,50,500
"Northern Bahr El Ghazal",1,77.11274,2,"Horses","No",.z,.z,.z,.z,.z,.z,.z,.z,8000,.z,,5,500
"Northern Bahr El Ghazal",1,77.11274,2,"Sheep","No",.z,.z,.z,.z,.z,.z,.z,.z,150000,.z,,200,5000
