,Unnamed: 0,County,State,Year,Population,Pop_percent_change,Fatalities,intensity,Hospitals,estimated_yield,Population_Percent_Child,Population_Percent_Female,Poverty_Rate,Airport
0,0,Abiemnhom,Unity,2011,19393,0,0,0,0,15,0.5277,0.5003,0.53,0
1,1,Akobo,Jonglei,2011,157474,0,1,0.063502546,0,39500,0.5063,0.5114,0.52,small_airport
2,2,Aweil Centre,Northern Bahr el Ghazal,2011,49174,0,0,0,6,143810.86,0.5897,0.4962,0.76,small_airport
3,3,Aweil East,Northern Bahr el Ghazal,2011,353806,0,0,0,21,89617.614,0.5946,0.5288,0.75,0
4,4,Aweil North,Northern Bahr el Ghazal,2011,146303,0,0,0,22,57690.84,0.5856,0.5275,0.77,0
5,5,Aweil South,Northern Bahr el Ghazal,2011,88968,0,0,0,6,78502,0.5441,0.5218,0.82,0
6,6,Aweil West,Northern Bahr el Ghazal,2011,192775,0,91,4.720529114,16,72439.62,0.602,0.5112,0.67,0
7,7,Awerial,Lakes,2011,54304,0,0,0,1,22105.4,0.5854,0.513,0.48,0
8,8,Ayod,Jonglei,2011,160224,0,3,0.187237867,0,13304,0.5037,0.5032,0.62,0
9,9,Baliet,Upper Nile,2011,55185,0,157,28.4497599,0,0,0.611,0.4644,0.32,0
10,10,Bor South,Jonglei,2011,254833,0,52,2.040552048,11,87516.84,0.5447,0.4924,0.5,small_airport
11,11,Budi,Eastern Equatoria,2011,112472,0,0,0,13,37500,0.5634,0.5293,0.57,0
12,12,Canal/Pigi,Jonglei,2011,113996,0,2,0.175444752,0,0,0.4499,0.5086,0.44,0
13,13,Cueibet,Lakes,2011,135731,0,0,0,0,49743,0.547,0.4728,0.49,0
14,14,Duk,Jonglei,2011,75510,0,1,0.13243279,2,16709.7,0.5428,0.5002,0.54,0
15,15,Ezo,Western Equatoria,2011,88703,0,0,0,7,14527.9,0.5013,0.5319,0.45,0
16,16,Fangak,Jonglei,2011,126285,0,0,0,0,0,0.5839,0.4698,0.55,0
17,16,Fangak,Jonglei,2011,126285,0,0,0,0,819.98,0.5839,0.4698,0.55,0
