,County,State,Year,Population,Pop_percent_change,Fatalities,intensity
0,Abiemnhom,Unity,2011,19393,0,0,0
1,Akobo,Jonglei,2011,157474,0,0,0
2,Aweil Centre,Northern Bahr el Ghazal,2011,49174,0,0,0
3,Aweil East,Northern Bahr el Ghazal,2011,353806,0,0,0
4,Aweil North,Northern Bahr el Ghazal,2011,146303,0,0,0
5,Aweil South,Northern Bahr el Ghazal,2011,88968,0,0,0
6,Aweil West,Northern Bahr el Ghazal,2011,192775,0,0,0
7,Awerial,Lakes,2011,54304,0,0,0
8,Ayod,Jonglei,2011,160224,0,0,0
9,Baliet,Upper Nile,2011,55185,0,0,0
10,Bor South,Jonglei,2011,254833,0,0,0
11,Budi,Eastern Equatoria,2011,112472,0,0,0
12,Canal/Pigi,Jonglei,2011,113996,0,0,0
13,Cueibet,Lakes,2011,135731,0,0,0
14,Duk,Jonglei,2011,75510,0,0,0
15,Ezo,Western Equatoria,2011,88703,0,0,0
16,Fangak,Jonglei,2011,126285,0,0,0
17,Fashoda,Upper Nile,2011,41827,0,0,0
18,Gogrial East,Warrap,2011,119998,0,0,0
19,Gogrial West,Warrap,2011,277400,0,0,0
20,Guit,Unity,2011,38669,0,0,0
21,Ibba,Western Equatoria,2011,48029,0,0,0
22,Ikotos,Eastern Equatoria,2011,96712,0,0,0
23,Juba,Central Equatoria,2011,427675,0,0,0
24,Jur River,Western Bahr el Ghazal,2011,147187,0,0,0
25,Kajo-keji,Central Equatoria,2011,225423,0,0,0
26,Kapoeta East,Eastern Equatoria,2011,208329,0,0,0
27,Kapoeta North,Eastern Equatoria,2011,117577,0,0,0
28,Kapoeta South,Eastern Equatoria,2011,91634,0,0,0
29,Koch,Unity,2011,83821,0,0,0
30,Lafon,Eastern Equatoria,2011,121194,0,0,0
31,Lainya,Central Equatoria,2011,102702,0,0,0
32,Leer,Unity,2011,61624,0,0,0
33,Longochuk,Upper Nile,2011,72816,0,0,0
34,Luakpiny/Nasir,Upper Nile,2011,241638,0,0,0
35,Maban,Upper Nile,2011,52393,0,0,0
36,Magwi,Eastern Equatoria,2011,192396,0,0,0
37,Maiwut,Upper Nile,2011,90542,0,0,0
38,Malakal,Upper Nile,2011,145651,0,0,0
39,Manyo,Upper Nile,2011,44965,0,0,0
40,Maridi,Western Equatoria,2011,94480,0,0,0
41,Mayendit,Unity,2011,63679,0,0,0
42,Mayom,Unity,2011,138494,0,0,0
43,Melut,Upper Nile,2011,56391,0,0,0
44,Morobo,Central Equatoria,2011,116517,0,0,0
45,Mundri East,Western Equatoria,2011,55635,0,0,0
46,Mundri West,Western Equatoria,2011,38743,0,0,0
47,Mvolo,Western Equatoria,2011,55412,0,0,0
48,Nagero,Western Equatoria,2011,11509,0,0,0
49,Nyirol,Jonglei,2011,124604,0,0,0
50,Nzara,Western Equatoria,2011,75399,0,0,0
51,Panyijiar,Unity,2011,58250,0,0,0
52,Panyikang,Upper Nile,2011,52275,0,0,0
53,Pariang,Unity,2011,95233,0,0,0
54,Pibor,Jonglei,2011,171159,0,0,0
55,Pochalla,Jonglei,2011,72005,0,0,0
56,Raga,Western Bahr el Ghazal,2011,54000,0,0,0
57,Renk,Upper Nile,2011,157397,0,0,0
58,Rubkona,Unity,2011,114464,0,0,0
59,Rumbek Centre,Lakes,2011,176247,0,0,0
60,Rumbek East,Lakes,2011,138746,0,0,0
61,Rumbek North,Lakes,2011,50027,0,0,0
62,Tambura,Western Equatoria,2011,61429,0,0,0
63,Terekeka,Central Equatoria,2011,161675,0,0,0
64,Tonj East,Warrap,2011,133808,0,0,0
65,Tonj North,Warrap,2011,188907,0,0,0
66,Tonj South,Warrap,2011,99998,0,0,0
67,Torit,Eastern Equatoria,2011,114965,0,0,0
68,Twic,Warrap,2011,235756,0,0,0
69,Twic East,Jonglei,2011,97806,0,0,0
70,Ulang,Upper Nile,2011,101644,0,0,0
71,Uror,Jonglei,2011,205686,0,0,0
72,Wau,Western Bahr el Ghazal,2011,174346,0,0,0
73,Wulu,Lakes,2011,48154,0,0,0
74,Yambio,Western Equatoria,2011,174817,0,0,0
75,Yei,Central Equatoria,2011,231202,0,0,0
76,Yirol East,Lakes,2011,76659,0,0,0
77,Yirol West,Lakes,2011,121166,0,0,0
78,Abiemnhom,Unity,2012,21754,0.108531764,0,0
79,Akobo,Jonglei,2012,176578,0.108190148,0,0
80,Aweil Centre,Northern Bahr el Ghazal,2012,55547,0.114731669,0,0
81,Aweil East,Northern Bahr el Ghazal,2012,398384,0.111897064,0,0
82,Aweil North,Northern Bahr el Ghazal,2012,164515,0.110701152,0,0
83,Aweil South,Northern Bahr el Ghazal,2012,96885,0.081715436,0,0
84,Aweil West,Northern Bahr el Ghazal,2012,216977,0.111541776,0,0
85,Awerial,Lakes,2012,61085,0.111009249,0,0
86,Ayod,Jonglei,2012,180291,0.111303393,0,0
87,Baliet,Upper Nile,2012,62144,0.111981849,0,0
88,Bor South,Jonglei,2012,286742,0.111281221,0,0
89,Budi,Eastern Equatoria,2012,126546,0.111216475,0,0
90,Canal/Pigi,Jonglei,2012,128253,0.111163092,0,0
91,Cueibet,Lakes,2012,152721,0.111248617,0,0
92,Duk,Jonglei,2012,84968,0.111312494,0,0
93,Ezo,Western Equatoria,2012,99557,0.109022972,0,0
94,Fangak,Jonglei,2012,142104,0.111319878,0,0
95,Fashoda,Upper Nile,2012,47046,0.11093398,0,0
96,Gogrial East,Warrap,2012,135036,0.111362896,0,0
97,Gogrial West,Warrap,2012,315068,0.119555144,0,0
98,Guit,Unity,2012,43510,0.111261779,0,0
99,Ibba,Western Equatoria,2012,54036,0.11116663,0,0
100,Ikotos,Eastern Equatoria,2012,108840,0.111429621,0,0
101,Juba,Central Equatoria,2012,481255,0.111333908,0,0
102,Jur River,Western Bahr el Ghazal,2012,165585,0.111109098,0,0
103,Kajo-keji,Central Equatoria,2012,253671,0.111356836,0,0
104,Kapoeta East,Eastern Equatoria,2012,230469,0.096064981,0,0
105,Kapoeta North,Eastern Equatoria,2012,132319,0.111412571,0,0
106,Kapoeta South,Eastern Equatoria,2012,103096,0.111177931,0,0
107,Koch,Unity,2012,94205,0.110227695,0,0
108,Lafon,Eastern Equatoria,2012,136475,0.111969225,0,0
109,Lainya,Central Equatoria,2012,115549,0.111182269,0,0
110,Leer,Unity,2012,69343,0.111316211,0,0
111,Longochuk,Upper Nile,2012,81974,0.11171835,0,0
112,Luakpiny/Nasir,Upper Nile,2012,271871,0.111203475,0,0
113,Maban,Upper Nile,2012,58958,0.111350453,0,0
114,Magwi,Eastern Equatoria,2012,216417,0.110994053,0,0
115,Maiwut,Upper Nile,2012,100381,0.098016557,0,0
116,Malakal,Upper Nile,2012,163885,0.111260945,0,0
117,Manyo,Upper Nile,2012,50368,0.107270489,0,0
118,Maridi,Western Equatoria,2012,106293,0.111136199,0,0
119,Mayendit,Unity,2012,71746,0.112438324,0,0
120,Mayom,Unity,2012,155843,0.111323576,0,0
121,Melut,Upper Nile,2012,63385,0.110341563,0,0
122,Morobo,Central Equatoria,2012,129327,0.099051242,0,0
123,Mundri East,Western Equatoria,2012,62599,0.111247784,0,0
124,Mundri West,Western Equatoria,2012,43601,0.111419463,0,0
125,Mvolo,Western Equatoria,2012,62336,0.111075462,0,0
126,Nagero,Western Equatoria,2012,12952,0.111411365,0,0
127,Nyirol,Jonglei,2012,140200,0.111241084,0,0
128,Nzara,Western Equatoria,2012,84792,0.11077696,0,0
129,Panyijiar,Unity,2012,65548,0.111338256,0,0
130,Panyikang,Upper Nile,2012,58800,0.110969388,0,0
131,Pariang,Unity,2012,107082,0.110653518,0,0
132,Pibor,Jonglei,2012,192334,0.110094939,0,0
133,Pochalla,Jonglei,2012,80749,0.108286171,0,0
134,Raga,Western Bahr el Ghazal,2012,62164,0.13133003,0,0
135,Renk,Upper Nile,2012,177361,0.112561386,0,0
136,Rubkona,Unity,2012,128801,0.111311248,0,0
137,Rumbek Centre,Lakes,2012,198303,0.111223733,0,0
138,Rumbek East,Lakes,2012,156131,0.111348803,0,0
139,Rumbek North,Lakes,2012,56297,0.111373608,0,0
140,Tambura,Western Equatoria,2012,69040,0.11024044,0,0
141,Terekeka,Central Equatoria,2012,181935,0.111358452,0,0
142,Tonj East,Warrap,2012,150542,0.111158348,0,0
143,Tonj North,Warrap,2012,212571,0.111322805,0,0
144,Tonj South,Warrap,2012,112512,0.111223692,0,0
145,Torit,Eastern Equatoria,2012,129260,0.110591057,0,0
146,Twic,Warrap,2012,264878,0.109944956,0,0
147,Twic East,Jonglei,2012,110053,0.111282746,0,0
148,Ulang,Upper Nile,2012,113498,0.104442369,0,0
149,Uror,Jonglei,2012,231427,0.111227298,0,0
150,Wau,Western Bahr el Ghazal,2012,196118,0.111014797,0,0
151,Wulu,Lakes,2012,54182,0.11125466,0,0
152,Yambio,Western Equatoria,2012,196781,0.111616467,0,0
153,Yei,Central Equatoria,2012,259388,0.108663469,0,0
154,Yirol East,Lakes,2012,86254,0.111241218,0,0
155,Yirol West,Lakes,2012,136337,0.111275736,0,0
156,Abiemnhom,Unity,2013,23203,0.062448821,0,0
157,Akobo,Jonglei,2013,184131,0.041019709,0,0
158,Aweil Centre,Northern Bahr el Ghazal,2013,56193,0.011496094,0,0
159,Aweil East,Northern Bahr el Ghazal,2013,417754,0.046367001,0,0
160,Aweil North,Northern Bahr el Ghazal,2013,174104,0.055076276,0,0
161,Aweil South,Northern Bahr el Ghazal,2013,98279,0.014184109,0,0
162,Aweil West,Northern Bahr el Ghazal,2013,222849,0.026349681,0,0
163,Awerial,Lakes,2013,63785,0.042329701,0,0
164,Ayod,Jonglei,2013,188978,0.045968314,0,0
165,Baliet,Upper Nile,2013,65759,0.054973464,0,0
166,Bor South,Jonglei,2013,299291,0.041929092,0,0
167,Budi,Eastern Equatoria,2013,132341,0.043788395,0,0
168,Canal/Pigi,Jonglei,2013,134130,0.043815701,0,0
169,Cueibet,Lakes,2013,159384,0.041804698,0,0
170,Duk,Jonglei,2013,88150,0.036097561,0,0
171,Ezo,Western Equatoria,2013,104202,0.04457688,0,0
172,Fangak,Jonglei,2013,149169,0.047362388,0,0
173,Fashoda,Upper Nile,2013,49354,0.046764193,0,0
174,Gogrial East,Warrap,2013,138677,0.026255255,0,0
175,Gogrial West,Warrap,2013,330746,0.047401934,0,0
176,Guit,Unity,2013,46612,0.066549386,0,0
177,Ibba,Western Equatoria,2013,56354,0.041132839,0,0
178,Ikotos,Eastern Equatoria,2013,115576,0.058281996,0,0
179,Juba,Central Equatoria,2013,502333,0.041960214,0,0
180,Jur River,Western Bahr el Ghazal,2013,172891,0.042257839,0,0
181,Kajo-keji,Central Equatoria,2013,266129,0.046811884,0,0
182,Kapoeta East,Eastern Equatoria,2013,246799,0.066167205,0,0
183,Kapoeta North,Eastern Equatoria,2013,138111,0.041937282,0,0
184,Kapoeta South,Eastern Equatoria,2013,107634,0.042161399,0,0
185,Koch,Unity,2013,102917,0.084650738,0,0
186,Lafon,Eastern Equatoria,2013,142325,0.041103109,0,0
187,Lainya,Central Equatoria,2013,120778,0.043294309,0,0
188,Leer,Unity,2013,71451,0.029502736,0,0
189,Longochuk,Upper Nile,2013,87497,0.063122164,0,0
190,Luakpiny/Nasir,Upper Nile,2013,285009,0.04609679,0,0
191,Maban,Upper Nile,2013,58492,-0.007966901,0,0
192,Magwi,Eastern Equatoria,2013,227170,0.047334595,0,0
193,Maiwut,Upper Nile,2013,108610,0.075766504,0,0
194,Malakal,Upper Nile,2013,171238,0.042940235,0,0
195,Manyo,Upper Nile,2013,49112,-0.025574198,0,0
196,Maridi,Western Equatoria,2013,111317,0.04513237,0,0
197,Mayendit,Unity,2013,69668,-0.02982718,0,0
198,Mayom,Unity,2013,163000,0.043907975,0,0
199,Melut,Upper Nile,2013,66491,0.046713089,0,0
200,Morobo,Central Equatoria,2013,136376,0.05168798,0,0
201,Mundri East,Western Equatoria,2013,65335,0.041876483,0,0
202,Mundri West,Western Equatoria,2013,45521,0.042178335,0,0
203,Mvolo,Western Equatoria,2013,65062,0.041898497,0,0
204,Nagero,Western Equatoria,2013,13516,0.041728322,0,0
205,Nyirol,Jonglei,2013,147274,0.048032918,0,0
206,Nzara,Western Equatoria,2013,88683,0.043875376,0,0
207,Panyijiar,Unity,2013,68468,0.04264766,0,0
208,Panyikang,Upper Nile,2013,59991,0.019852978,0,0
209,Pariang,Unity,2013,111231,0.037300752,0,0
210,Pibor,Jonglei,2013,201034,0.043276262,0,0
211,Pochalla,Jonglei,2013,89708,0.099868462,0,0
212,Raga,Western Bahr el Ghazal,2013,64335,0.03374524,0,0
213,Renk,Upper Nile,2013,183601,0.033986743,0,0
214,Rubkona,Unity,2013,135220,0.047470788,0,0
215,Rumbek Centre,Lakes,2013,207053,0.042259711,0,0
216,Rumbek East,Lakes,2013,162798,0.040952592,0,0
217,Rumbek North,Lakes,2013,58599,0.039283947,0,0
218,Tambura,Western Equatoria,2013,72162,0.043263768,0,0
219,Terekeka,Central Equatoria,2013,189872,0.041801845,0,0
220,Tonj East,Warrap,2013,157054,0.041463446,0,0
221,Tonj North,Warrap,2013,227069,0.063848434,0,0
222,Tonj South,Warrap,2013,117813,0.044995035,0,0
223,Torit,Eastern Equatoria,2013,135055,0.042908445,0,0
224,Twic,Warrap,2013,276077,0.04056477,0,0
225,Twic East,Jonglei,2013,114868,0.041917679,0,0
226,Ulang,Upper Nile,2013,115797,0.01985371,0,0
227,Uror,Jonglei,2013,241622,0.042194006,0,0
228,Wau,Western Bahr el Ghazal,2013,204779,0.042294376,0,0
