admin2,year,fatalities
Abiemnhom,2012,7
Abiemnhom,2013,8
Abiemnhom,2014,0
Akobo,2011,1
Akobo,2012,98
Akobo,2013,90
Akobo,2014,8
Akobo,2015,56
Aweil Centre,2014,1
Aweil East,2012,15
Aweil East,2013,51
Aweil East,2014,3
Aweil East,2015,4
Aweil North,2012,1
Aweil South,2013,6
Aweil West,2011,91
Aweil West,2012,28
Aweil West,2013,6
Aweil West,2014,31
Aweil West,2015,36
Awerial,2014,3
Awerial,2015,0
Ayod,2011,3
Ayod,2013,2
Ayod,2014,312
Ayod,2015,283
Baliet,2011,157
Baliet,2012,0
Baliet,2013,1
Baliet,2014,37
Baliet,2015,5
Bor South,2011,52
Bor South,2012,72
Bor South,2013,128
Bor South,2014,517
Bor South,2015,37
Budi,2013,7
Budi,2014,3
Budi,2015,2
Canal/Pigi,2011,2
Canal/Pigi,2014,68
Canal/Pigi,2015,15
Cueibet,2012,16
Cueibet,2013,0
Cueibet,2014,142
Cueibet,2015,38
Duk,2011,1
Duk,2012,88
Duk,2013,30
Duk,2014,76
Duk,2015,9
Ezo,2013,2
Ezo,2014,1
Ezo,2015,4
Fangak,2013,4
Fangak,2014,128
Fangak,2015,0
Fashoda,2012,0
Fashoda,2014,0
Fashoda,2015,24
Gogrial East,2015,21
Gogrial West,2012,0
Gogrial West,2013,11
Gogrial West,2014,8
Gogrial West,2015,39
Guit,2014,43
Guit,2015,95
Ikotos,2015,3
Juba,2011,0
Juba,2012,8
Juba,2013,2105
Juba,2014,104
Juba,2015,165
Jur River,2014,206
Jur River,2015,11
Kajo-Keji,2013,1
Kajo-Keji,2014,2
Kajo-Keji,2015,11
Kapoeta East,2012,1
Kapoeta East,2015,0
Kapoeta North,2015,7
Kapoeta South,2013,5
Kapoeta South,2014,23
Koch,2013,8
Koch,2014,0
Koch,2015,125
Lafon,2015,3
Lainya,2015,35
Leer,2013,0
Leer,2014,51
Leer,2015,492
Longochuk,2014,70
Longochuk,2015,0
Luakpiny/Nasir,2013,0
Luakpiny/Nasir,2014,156
Luakpiny/Nasir,2015,29
Maban,2013,0
Maban,2014,62
Maban,2015,38
Magwi,2012,0
Magwi,2013,1
Magwi,2014,0
Magwi,2015,20
Maiwut,2012,0
Maiwut,2014,3
Malakal,2012,21
Malakal,2013,102
Malakal,2014,207
Malakal,2015,203
Manyo,2011,157
Manyo,2012,0
Manyo,2014,35
Manyo,2015,88
Maridi,2014,13
Maridi,2015,53
Mayendit,2014,5
Mayendit,2015,133
Mayom,2011,95
Mayom,2012,2
Mayom,2013,8
Mayom,2014,270
Mayom,2015,81
Melut,2012,0
Melut,2014,91
Melut,2015,62
Morobo,2011,2
Morobo,2015,6
Mundri East,2011,0
Mundri East,2015,14
Mundri West,2014,17
Mundri West,2015,90
Mvolo,2014,3
Nyirol,2012,38
Nyirol,2013,3
Nyirol,2015,28
Nzara,2014,0
Nzara,2015,13
Panyijiar,2012,15
Panyijiar,2013,14
Panyijiar,2014,90
Panyijiar,2015,32
Panyikang,2012,0
Panyikang,2014,440
Panyikang,2015,24
Pariang,2011,0
Pariang,2012,30
Pariang,2013,53
Pariang,2014,214
Pariang,2015,139
Pibor,2011,180
Pibor,2012,3188
Pibor,2013,811
Pibor,2015,5
Pochalla,2013,0
Pochalla,2014,40
Pochalla,2015,13
Raja,2011,40
Raja,2012,3
Raja,2013,33
Raja,2014,37
Raja,2015,31
Renk,2012,43
Renk,2013,22
Renk,2014,195
Renk,2015,35
Rubkona,2011,2
Rubkona,2012,259
Rubkona,2013,358
Rubkona,2014,1401
Rubkona,2015,116
Rumbek Centre,2012,19
Rumbek Centre,2013,129
Rumbek Centre,2014,88
Rumbek Centre,2015,317
Rumbek East,2013,0
Rumbek East,2014,264
Rumbek East,2015,72
Rumbek North,2013,1
Rumbek North,2014,231
Rumbek North,2015,7
Tambura,2013,1
Tambura,2014,2
Tambura,2015,0
Terekeka,2014,20
Terekeka,2015,11
Tonj East,2014,3
Tonj East,2015,90
Tonj North,2012,40
Tonj North,2013,138
Tonj North,2014,23
Tonj North,2015,65
Tonj South,2012,112
Tonj South,2013,30
Tonj South,2014,238
Tonj South,2015,6
Torit,2012,1
Torit,2013,16
Torit,2014,60
Torit,2015,41
Twic,2013,29
Twic,2014,114
Twic,2015,5
Twic East,2012,14
Twic East,2013,94
Twic East,2014,28
Twic East,2015,53
Ulang,2013,27
Ulang,2014,0
Ulang,2015,0
Uror,2011,1832
Uror,2012,68
Uror,2013,0
Uror,2014,183
Uror,2015,0
Wau,2011,0
Wau,2012,52
Wau,2013,50
Wau,2014,6
Wau,2015,80
Wulu,2015,1
Yambio,2011,0
Yambio,2013,0
Yambio,2014,2
Yambio,2015,40
Yei,2014,9
Yei,2015,4
Yirol East,2015,0
Yirol West,2013,8
Yirol West,2014,7
Yirol West,2015,35
