,year,state,county,fatalities,county_hospitals,population,intensity
0,2012,Unity,Abiemnhom,7,5.0,21754.0,3.2177990254665807
1,2013,Unity,Abiemnhom,8,5.0,23203.0,3.4478300219799167
2,2014,Unity,Abiemnhom,0,5.0,24080.0,0.0
3,2011,Jonglei,Akobo,1,14.0,157474.0,0.06350254645211273
4,2012,Jonglei,Akobo,98,14.0,176578.0,5.549955260564737
5,2013,Jonglei,Akobo,90,14.0,184131.0,4.887824429346498
6,2014,Jonglei,Akobo,8,14.0,191996.0,0.4166753474030709
7,2015,Jonglei,Akobo,56,14.0,188273.0,2.9744041896607585
8,2014,Northern Bahr el Ghazal,Aweil Centre,1,11.0,57442.0,0.17408864593851187
9,2012,Northern Bahr el Ghazal,Aweil East,15,33.0,398384.0,0.37652114542752724
10,2013,Northern Bahr el Ghazal,Aweil East,51,33.0,417754.0,1.2208141633592975
11,2014,Northern Bahr el Ghazal,Aweil East,3,33.0,436824.0,0.06867754518982473
12,2015,Northern Bahr el Ghazal,Aweil East,4,33.0,431148.0,0.09277556662677318
13,2012,Northern Bahr el Ghazal,Aweil North,1,28.0,164515.0,0.06078473087560404
14,2013,Northern Bahr el Ghazal,Aweil South,6,6.0,98279.0,0.6105068224137405
15,2011,Northern Bahr el Ghazal,Aweil West,91,28.0,192775.0,4.720529114252367
16,2012,Northern Bahr el Ghazal,Aweil West,28,28.0,216977.0,1.2904593574434158
17,2013,Northern Bahr el Ghazal,Aweil West,6,28.0,222849.0,0.2692406068683279
18,2014,Northern Bahr el Ghazal,Aweil West,31,28.0,230777.0,1.3432881093003202
19,2015,Northern Bahr el Ghazal,Aweil West,36,28.0,234997.0,1.5319344502270242
20,2014,Lakes,Awerial,3,2.0,66441.0,0.4515284237142728
21,2015,Lakes,Awerial,0,2.0,70333.0,0.0
22,2011,Jonglei,Ayod,3,20.0,160224.0,0.1872378669862193
23,2013,Jonglei,Ayod,2,20.0,188978.0,0.1058324249383526
24,2014,Jonglei,Ayod,312,20.0,196759.0,15.856962070350022
25,2015,Jonglei,Ayod,283,20.0,205460.0,13.773970602550376
26,2011,Upper Nile,Baliet,157,9.0,55185.0,28.44975989852315
27,2012,Upper Nile,Baliet,0,9.0,62144.0,0.0
28,2013,Upper Nile,Baliet,1,9.0,65759.0,0.15207043902735748
29,2014,Upper Nile,Baliet,37,9.0,69782.0,5.302226935312832
30,2015,Upper Nile,Baliet,5,9.0,102762.0,0.4865611802027987
31,2013,Eastern Equatoria,Budi,7,20.0,132341.0,0.5289366107253233
32,2014,Eastern Equatoria,Budi,3,20.0,138097.0,0.21723860764535075
33,2015,Eastern Equatoria,Budi,2,20.0,141506.0,0.14133676310545135
34,2012,Lakes,Cueibet,16,14.0,152721.0,1.0476620765971936
35,2013,Lakes,Cueibet,0,14.0,159384.0,0.0
36,2014,Lakes,Cueibet,142,14.0,166065.0,8.55086863577515
37,2015,Lakes,Cueibet,38,14.0,171516.0,2.2155367429277737
38,2011,Jonglei,Duk,1,7.0,75510.0,0.13243279035889285
39,2012,Jonglei,Duk,88,7.0,84968.0,10.3568402222013
40,2013,Jonglei,Duk,30,7.0,88150.0,3.4032898468519566
41,2014,Jonglei,Duk,76,7.0,92098.0,8.252079306825339
42,2015,Jonglei,Duk,9,7.0,95443.0,0.9429711974686463
43,2013,Western Equatoria,Ezo,2,16.0,104202.0,0.19193489568338418
44,2014,Western Equatoria,Ezo,1,16.0,109439.0,0.09137510393918073
45,2015,Western Equatoria,Ezo,4,16.0,113365.0,0.3528425881003837
46,2013,Jonglei,Fangak,4,16.0,149169.0,0.26815223002098293
47,2014,Jonglei,Fangak,128,16.0,155636.0,8.22431828111748
48,2015,Jonglei,Fangak,0,16.0,159893.0,0.0
49,2012,Upper Nile,Fashoda,0,13.0,47046.0,0.0
50,2014,Upper Nile,Fashoda,0,13.0,51465.0,0.0
51,2015,Upper Nile,Fashoda,24,13.0,47524.0,5.050079959599361
52,2015,Warrap,Gogrial East,21,22.0,144706.0,1.4512183323428194
53,2012,Warrap,Gogrial West,0,26.0,315068.0,0.0
54,2013,Warrap,Gogrial West,11,26.0,330746.0,0.33258149758424893
55,2014,Warrap,Gogrial West,8,26.0,343953.0,0.2325899178085378
56,2015,Warrap,Gogrial West,39,26.0,311870.0,1.2505210504376822
57,2014,Unity,Guit,43,11.0,48878.0,8.79741396947502
58,2015,Unity,Guit,95,11.0,38436.0,24.716411697367054
59,2015,Eastern Equatoria,Ikotos,3,20.0,107072.0,0.2801852958756725
60,2011,Central Equatoria,Juba,0,76.0,427675.0,0.0
61,2012,Central Equatoria,Juba,8,76.0,481255.0,0.16623203914764523
62,2013,Central Equatoria,Juba,2105,76.0,502333.0,41.90447372559637
63,2014,Central Equatoria,Juba,104,76.0,638799.0,1.6280551472372373
64,2015,Central Equatoria,Juba,165,76.0,528544.0,3.1217836168795787
65,2014,Western Bahr el Ghazal,Jur River,206,30.0,180004.0,11.444190129108241
66,2015,Western Bahr el Ghazal,Jur River,11,30.0,142329.0,0.7728572532653218
67,2012,Eastern Equatoria,Kapoeta East,1,15.0,230469.0,0.04338978344159084
68,2015,Eastern Equatoria,Kapoeta East,0,15.0,240403.0,0.0
69,2015,Eastern Equatoria,Kapoeta North,7,7.0,146527.0,0.4777276542889707
70,2013,Eastern Equatoria,Kapoeta South,5,5.0,107634.0,0.464537228013453
71,2014,Eastern Equatoria,Kapoeta South,23,5.0,112253.0,2.0489430126589045
72,2013,Unity,Koch,8,12.0,102917.0,0.7773254175694977
73,2014,Unity,Koch,0,12.0,106521.0,0.0
74,2015,Unity,Koch,125,12.0,115691.0,10.80464340354911
75,2015,Central Equatoria,Lainya,35,33.0,132662.0,2.6382837587251813
76,2013,Unity,Leer,0,8.0,71451.0,0.0
77,2014,Unity,Leer,51,8.0,74599.0,6.836552768803871
78,2015,Unity,Leer,492,8.0,79520.0,61.87122736418511
79,2014,Upper Nile,Longochuk,70,9.0,90756.0,7.7129886729252055
80,2015,Upper Nile,Longochuk,0,9.0,162036.0,0.0
81,2013,Upper Nile,Luakpiny/Nasir,0,17.0,285009.0,0.0
82,2014,Upper Nile,Luakpiny/Nasir,156,17.0,296148.0,5.267636452044248
83,2015,Upper Nile,Luakpiny/Nasir,29,17.0,283397.0,1.0232994703543086
84,2013,Upper Nile,Maban,0,13.0,58492.0,0.0
85,2014,Upper Nile,Maban,62,13.0,61988.0,10.001935858553269
86,2015,Upper Nile,Maban,38,13.0,63719.0,5.963684301385772
87,2012,Eastern Equatoria,Magwi,0,38.0,216417.0,0.0
88,2013,Eastern Equatoria,Magwi,1,38.0,227170.0,0.044019896993441034
89,2014,Eastern Equatoria,Magwi,0,38.0,237224.0,0.0
90,2015,Eastern Equatoria,Magwi,20,38.0,245674.0,0.8140869607691493
91,2012,Upper Nile,Maiwut,0,11.0,100381.0,0.0
92,2014,Upper Nile,Maiwut,3,11.0,113831.0,0.2635485939682512
93,2012,Upper Nile,Malakal,21,20.0,163885.0,1.2813863379809012
94,2013,Upper Nile,Malakal,102,20.0,171238.0,5.956621777876406
95,2014,Upper Nile,Malakal,207,20.0,178423.0,11.60164328589924
96,2015,Upper Nile,Malakal,203,20.0,182700.0,11.11111111111111
97,2011,Upper Nile,Manyo,157,13.0,44965.0,34.916045813410435
98,2012,Upper Nile,Manyo,0,13.0,50368.0,0.0
99,2014,Upper Nile,Manyo,35,13.0,46429.0,7.538391953305046
100,2015,Upper Nile,Manyo,88,13.0,52618.0,16.724314873237297
101,2014,Western Equatoria,Maridi,13,28.0,116108.0,1.1196472249974163
102,2015,Western Equatoria,Maridi,53,28.0,116347.0,4.555338771089929
